%LAMBDA nm	HbO2 1/(mm*uM)	Hb 1/(mm*uM)
1049	0.1742	0.0308
1050	0.1722	0.0305
1051	0.1705	0.0302
1052	0.1688	0.0299
1053	0.1671	0.0296
1054	0.1654	0.0293
1055	0.1637	0.0291
1056	0.1621	0.0288
1057	0.1605	0.0286
1058	0.1589	0.0284
1059	0.1572	0.0282
1060	0.1556	0.0280
1061	0.1539	0.0278
1062	0.1522	0.0276
1063	0.1505	0.0274
1064	0.1488	0.0271
1065	0.1471	0.0269
1066	0.1456	0.0268
1067	0.1440	0.0266
1068	0.1425	0.0265
1069	0.1409	0.0263
1070	0.1394	0.0262
1071	0.1379	0.0260
1072	0.1365	0.0258
1073	0.1351	0.0256
1074	0.1337	0.0255
1075	0.1323	0.0253
1076	0.1309	0.0252
1077	0.1295	0.0251
1078	0.1281	0.0250
1079	0.1268	0.0249
1080	0.1254	0.0247
1081	0.1240	0.0247
1082	0.1226	0.0246
1083	0.1213	0.0246
1084	0.1199	0.0245
1085	0.1186	0.0245
1086	0.1173	0.0243
1087	0.1160	0.0242
1088	0.1146	0.0241
1089	0.1133	0.0239
1090	0.1120	0.0238
1091	0.1109	0.0237
1092	0.1097	0.0236
1093	0.1086	0.0235
1094	0.1074	0.0234
1095	0.1062	0.0233
1096	0.1052	0.0232
1097	0.1041	0.0231
1098	0.1031	0.0230
1099	0.1021	0.0228
1100	0.1010	0.0227
1101	0.0998	0.0226
1102	0.0987	0.0224
1103	0.0975	0.0222
1104	0.0963	0.0220
1105	0.0952	0.0219
1106	0.0940	0.0217
1107	0.0928	0.0216
1108	0.0916	0.0215
1109	0.0904	0.0214
1110	0.0892	0.0213
1111	0.0881	0.0211
1112	0.0871	0.0209
1113	0.0860	0.0207
1114	0.0849	0.0205
1115	0.0839	0.0203
1116	0.0829	0.0202
1117	0.0820	0.0201
1118	0.0810	0.0199
1119	0.0801	0.0198
1120	0.0791	0.0197
1121	0.0782	0.0196
1122	0.0772	0.0195
1123	0.0762	0.0195
1124	0.0752	0.0194
1125	0.0743	0.0193
1126	0.0732	0.0192
1127	0.0721	0.0192
1128	0.0710	0.0191
1129	0.0700	0.0191
1130	0.0689	0.0190
1131	0.0681	0.0189
1132	0.0673	0.0189
1133	0.0665	0.0188
1134	0.0658	0.0188
1135	0.0650	0.0187
1136	0.0644	0.0187
1137	0.0638	0.0187
1138	0.0631	0.0187
1139	0.0625	0.0187
1140	0.0619	0.0187
1141	0.0613	0.0187
1142	0.0607	0.0187
1143	0.0601	0.0188
1144	0.0594	0.0188
1145	0.0588	0.0189
1146	0.0582	0.0190
1147	0.0576	0.0190
1148	0.0570	0.0191
1149	0.0564	0.0192
1150	0.0559	0.0193
1151	0.0555	0.0194
1152	0.0551	0.0195
1153	0.0547	0.0196
1154	0.0543	0.0197
1155	0.0539	0.0198
1156	0.0535	0.0199
1157	0.0531	0.0201
1158	0.0526	0.0203
1159	0.0522	0.0204
1160	0.0517	0.0206
1161	0.0513	0.0207
1162	0.0509	0.0207
1163	0.0505	0.0208
1164	0.0501	0.0209
1165	0.0497	0.0210
1166	0.0492	0.0210
1167	0.0488	0.0210
1168	0.0483	0.0211
1169	0.0479	0.0211
1170	0.0474	0.0212
1171	0.0469	0.0211
1172	0.0464	0.0211
1173	0.0459	0.0211
1174	0.0453	0.0210
1175	0.0448	0.0210
1176	0.0442	0.0209
1177	0.0437	0.0208
1178	0.0431	0.0206
1179	0.0425	0.0205
1180	0.0420	0.0204
1181	0.0414	0.0203
1182	0.0409	0.0202
1183	0.0403	0.0201
1184	0.0398	0.0200
1185	0.0393	0.0199
1186	0.0388	0.0196
1187	0.0384	0.0194
1188	0.0379	0.0191
1189	0.0375	0.0189
1190	0.0370	0.0186
1191	0.0367	0.0183
1192	0.0364	0.0179
1193	0.0361	0.0176
1194	0.0357	0.0172
1195	0.0354	0.0169
1196	0.0351	0.0167
1197	0.0349	0.0164
1198	0.0346	0.0162
1199	0.0344	0.0160
1200	0.0342	0.0157
1201	0.0339	0.0155
1202	0.0336	0.0154
1203	0.0333	0.0152
1204	0.0330	0.0150
1205	0.0327	0.0149
1206	0.0325	0.0147
1207	0.0322	0.0145
1208	0.0319	0.0143
1209	0.0317	0.0141
1210	0.0314	0.0140
1211	0.0311	0.0139
1212	0.0308	0.0137
1213	0.0305	0.0136
1214	0.0303	0.0135
1215	0.0300	0.0134
1216	0.0297	0.0133
1217	0.0294	0.0131
1218	0.0291	0.0130
1219	0.0289	0.0129
1220	0.0286	0.0128
1221	0.0284	0.0127
1222	0.0282	0.0126
1223	0.0281	0.0125
1224	0.0279	0.0125
1225	0.0277	0.0124
1226	0.0276	0.0123
1227	0.0275	0.0122
1228	0.0274	0.0122
1229	0.0272	0.0121
1230	0.0271	0.0120
1231	0.0268	0.0120
1232	0.0265	0.0119
1233	0.0262	0.0119
1234	0.0258	0.0119
1235	0.0255	0.0118
1236	0.0252	0.0118
1237	0.0249	0.0117
1238	0.0245	0.0117
1239	0.0242	0.0116
1240	0.0239	0.0116
1241	0.0236	0.0115
1242	0.0234	0.0115
1243	0.0232	0.0115
1244	0.0229	0.0114
1245	0.0227	0.0114
1246	0.0225	0.0114
1247	0.0224	0.0114
1248	0.0224	0.0113
1249	0.0224	0.0113
1250	0.0223	0.0113
1251	0.0223	0.0113
1252	0.0223	0.0113
1253	0.0224	0.0114
1254	0.0224	0.0114
1255	0.0224	0.0114
1256	0.0224	0.0114
1257	0.0224	0.0115
1258	0.0224	0.0115
1259	0.0224	0.0116
1260	0.0224	0.0116
1261	0.0223	0.0116
